input,output
Remind me to stop the bathroom light.,stop.bathroom_light
Don't open the news yet.,open.news
Could you please pause the dryer?,pause.dryer
Could you close my blinds?,close.blinds
Turn off the freezer now.,turn_off.freezer
Do you mind play the air conditioner?,play.air_conditioner
"It's too cold, resume the shower.",resume.shower
Don't close the sprinklers yet.,close.sprinklers
"Play the news, please.",play.news
Stop my blinds.,stop.blinds
Let's resume the front door.,resume.front_door
"Turn off the jazz music, please.",turn_off.jazz_music
I need you to increase the speaker 5.,increase.speaker_5
Can you increase the fan 1?,increase.fan_1
Why don't we turn on the light 5?,turn_on.light_5
"Hey, increase the washing machine.",increase.washing_machine
Can you resume the window?,resume.window
Don't forget to play the light.,play.light
Please turn off some window 2.,turn_off.window_2
"It's too cold, turn off the volume.",turn_off.volume
Please increase the fan 3.,increase.fan_3
"Play the door 2, please.",play.door_2
Lock the oven when you can.,lock.oven
Can we turn on the humidifier now?,turn_on.humidifier
I need you to stop the light.,stop.light
Let's unlock the thermostat 3.,unlock.thermostat_3
Remind me to open the door 1.,open.door_1
Would you mind pause the jazz music?,pause.jazz_music
Don't forget to set the kitchen light.,set.kitchen_light
I want to increase the TV.,increase.TV
I need you to resume the light 5.,resume.light_5
Would you mind stop the fan 3?,stop.fan_3
Would you mind turn off the news?,turn_off.news
"Pause the window 3, please.",pause.window_3
I need you to stop the light 1.,stop.light_1
"It's too cold, close the fan.",close.fan
I would like to decrease the shower.,decrease.shower
Please pause the living room light.,pause.living_room_light
"It's too cold, resume the garage door.",resume.garage_door
Do you mind play the TV?,play.TV
"It's too cold, set the light.",set.light
"Hey, close the kitchen light.",close.kitchen_light
I forgot to turn on the door.,turn_on.door
Could you lock the music for me?,lock.music
"It's too hot, pause the fridge.",pause.fridge
It's time to decrease the fridge.,decrease.fridge
Don't forget to pause the fan 3.,pause.fan_3
Time to open the dryer.,open.dryer
I forgot to resume the kitchen light.,resume.kitchen_light
Could you please decrease the fan 2?,decrease.fan_2
"Open the light 1, please.",open.light_1
I want to open the speaker 5.,open.speaker_5
"Open the garage door, please.",open.garage_door
Do you mind set the outdoor light?,set.outdoor_light
I need you to play the door 5.,play.door_5
I forgot to close the living room TV.,close.living_room_TV
It's time to stop the fridge.,stop.fridge
"Turn off the alarm, thanks.",turn_off.alarm
I need you to close the door.,close.door
"It's too cold, resume the fan 1.",resume.fan_1
Lock the front door to 72 degrees.,lock.front_door
Don't forget to lock the speaker 5.,lock.speaker_5
Don't forget to decrease the light 4.,decrease.light_4
Don't lock the washing machine yet.,lock.washing_machine
Don't play the speaker 5 yet.,play.speaker_5
Unlock the fridge to 72 degrees.,unlock.fridge
Let's close the thermostat 3.,close.thermostat_3
Do you mind increase the window 5?,increase.window_5
"Increase the living room music, thanks.",increase.living_room_music
Could you please turn on the thermostat 3?,turn_on.thermostat_3
Would you mind open the microwave?,open.microwave
Can we lock the playlist now?,lock.playlist
I would like to pause the shower.,pause.shower
Maybe close the fan 2 later.,close.fan_2
"Hey, close the fan 1.",close.fan_1
Stop the radio when you can.,stop.radio
"It's too cold, increase the playlist.",increase.playlist
"Resume the microwave, thanks.",resume.microwave
Increase the outdoor light when you can.,increase.outdoor_light
Don't resume the radio yet.,resume.radio
It's time to decrease the door 1.,decrease.door_1
Could you please stop the shower?,stop.shower
Would you mind decrease the window 1?,decrease.window_1
"It's too cold, turn on the thermostat 4.",turn_on.thermostat_4
Let's turn on the bathroom light.,turn_on.bathroom_light
Help me increase the speaker 3.,increase.speaker_3
Could you lock my fan 4?,lock.fan_4
Can we open the bedroom window now?,open.bedroom_window
Do you mind close the door 2?,close.door_2
Stop the front door now.,stop.front_door
Please turn on the door 4.,turn_on.door_4
Remind me to turn on the alarm.,turn_on.alarm
Turn on the light 2 when you can.,turn_on.light_2
Resume my garage light.,resume.garage_light
Set the dishwasher right away.,set.dishwasher
Lock the door 1 to 72 degrees.,lock.door_1
Increase the oven now.,increase.oven
I forgot to set the speaker 2.,set.speaker_2
Can we increase the bathroom faucet now?,increase.bathroom_faucet
Please close some fan 3.,close.fan_3
I'd like to decrease some light 1.,decrease.light_1
Stop the window 2 right away.,stop.window_2
"It's too hot, stop the fan 4.",stop.fan_4
Remind me to unlock the garden lights.,unlock.garden_lights
"Open the humidifier, thanks.",open.humidifier
Close the light 2 now.,close.light_2
Decrease the window 5 to 72 degrees.,decrease.window_5
Don't unlock the dryer yet.,unlock.dryer
Do you mind open the shower?,open.shower
Turn off the door 5 right away.,turn_off.door_5
Time to increase the speaker 4.,increase.speaker_4
